run_key,problem,method,status,m,n,p,lambda,initial_objective,iterations,final_objective,final_residual,support_size,raw_nonzero_count,classification_support_threshold,thresholded_tail_norm,lambda_min,relative_lambda_min,numerical_locmin,runtime_total,runtime_algorithm,diagnostic_time,verification_calls,scheduled_verifications,forced_final_verifications,accepted_corrections,eligible_iterations,mean_verify_support,max_verify_support,eig_time,probe_time,verification_time,verification_time_fraction,gamma,kappa0,sigma,eta_lower_bound,log10_theoretical_correction_bound,regime,seed,iteration_cap,timing_repeats,runtime_algorithm_min,runtime_algorithm_max,runtime_algorithm_q25,runtime_algorithm_q75
ordinary_n50_p0.8_seed1102,random_gaussian_n50_m40_p0.8_seed1102,FB,converged,40,50,0.8,0.05,19.97992956750239,4459,2.8598587820709844,9.89763491350722e-12,32,32,0.005735607145322531,0.0,0.026212047386764307,0.00843798011891767,True,0.33541919100002815,0.33526115100005427,0.00015803999997388019,0,0,0,0,0,,,0.0,0.0,0.0,0.0,0.23469361564080307,,,,,ordinary,1102,50000,3,0.3347585110000182,0.3371709110000438,0.33500983100003623,0.33621603100004904
ordinary_n50_p0.8_seed1102,random_gaussian_n50_m40_p0.8_seed1102,4V-FB,converged,40,50,0.8,0.05,19.97992956750239,4459,2.8598587820709844,9.89763491350722e-12,32,32,0.005735607145322531,0.0,0.026212047386764307,0.00843798011891767,True,0.3510696179999968,0.35088538799993785,0.00018423000005896029,12,11,1,0,1490,32.0,32.0,0.0006750199999032702,0.00012185999969460681,0.0009932599998592195,0.002832785211684022,0.23469361564080307,1.6566058555180693e-14,3.4512621989959777e-16,0.005735607145322531,25.7282984097578,ordinary,1102,50000,3,0.35026130899996133,0.3529859180000585,0.3505733484999496,0.3519356529999982
ordinary_n50_p0.8_seed1103,random_gaussian_n50_m40_p0.8_seed1103,FB,converged,40,50,0.8,0.05,15.664467690992087,2853,2.652657399473015,9.90397393176527e-12,28,28,0.005082054549952968,0.0,0.04192390676776891,0.011207066069945436,True,0.21583903900000223,0.2156759490000013,0.00015876999998454266,0,0,0,0,0,,,0.0,0.0,0.0,0.0,0.20297997094055717,,,,,ordinary,1103,50000,3,0.2151660480000146,0.21616381800004092,0.21542099850000795,0.21591988350002111
ordinary_n50_p0.8_seed1103,random_gaussian_n50_m40_p0.8_seed1103,4V-FB,converged,40,50,0.8,0.05,15.664467690992087,2853,2.652657399473015,9.90397393176527e-12,28,28,0.005082054549952968,0.0,0.04192390676776891,0.011207066069945436,True,0.22583039699998153,0.22565957699998762,0.0001687900000888476,12,11,1,0,1075,28.0,28.0,0.0006209199999602788,0.00012295000021822489,0.0009490300001289143,0.0041800219621260185,0.20297997094055717,4.3846067161366975e-14,9.134597325284786e-16,0.005082054549952968,25.41006894437469,ordinary,1103,50000,3,0.2255488369999057,0.22687117699990722,0.22560420699994665,0.22626537699994742
ordinary_n50_p0.8_seed1104,random_gaussian_n50_m40_p0.8_seed1104,FB,converged,40,50,0.8,0.05,23.219093562611924,3617,2.146228373735404,9.890209989072126e-12,29,29,0.005492403877393048,0.0,0.0319794517400928,0.009423554318197313,True,0.27482697999994343,0.2746551999999838,0.00015704999998433777,0,0,0,0,0,,,0.0,0.0,0.0,0.0,0.2228029604871557,,,,,ordinary,1104,50000,3,0.27265422000004946,0.27747410899996794,0.2736547100000166,0.27606465449997586
ordinary_n50_p0.8_seed1104,random_gaussian_n50_m40_p0.8_seed1104,4V-FB,converged,40,50,0.8,0.05,23.219093562611924,3617,2.146228373735404,9.890209989072126e-12,29,29,0.005492403877393048,0.0,0.0319794517400928,0.009423554318197313,True,0.2869168180000088,0.28674862799994116,0.0001694300000281146,12,11,1,0,1287,29.0,29.0,0.0006410300001107316,0.0001222999998162777,0.00096250900026007,0.003364644592995927,0.2228029604871557,9.0827173439462e-15,1.8922327799887916e-16,0.005492403877393048,26.12982083959173,ordinary,1104,50000,3,0.2858828480000284,0.28676717799999096,0.2863157379999848,0.28675790299996606
ordinary_n50_p0.8_seed1105,random_gaussian_n50_m40_p0.8_seed1105,FB,converged,40,50,0.8,0.05,21.065861836426656,6358,2.6493972717160617,9.920269067126196e-12,33,33,0.005471796627982841,0.0,0.01915842482866685,0.0056475660730154085,True,0.48025744000005943,0.4800786200000857,0.00017902000001868146,0,0,0,0,0,,,0.0,0.0,0.0,0.0,0.22180020135374923,,,,,ordinary,1105,50000,3,0.4793788699998913,0.48209131000010075,0.4797287449999885,0.48108496500009323
ordinary_n50_p0.8_seed1105,random_gaussian_n50_m40_p0.8_seed1105,4V-FB,converged,40,50,0.8,0.05,21.065861836426656,6358,2.6493972717160617,9.920269067126196e-12,33,33,0.005471796627982841,0.0,0.01915842482866685,0.0056475660730154085,True,0.5051481859999285,0.5049492459999101,0.00019247900002028473,13,12,1,0,2161,33.0,33.0,0.0008520799997313588,0.00013468999975430052,0.001207350000072438,0.0023866633172246773,0.22180020135374923,1.3405377034871649e-14,2.792786882264927e-16,0.005471796627982841,25.925021645746433,ordinary,1105,50000,3,0.4995953659999941,0.5056811360000211,0.5022723059999521,0.5053151909999656
ordinary_n100_p0.3_seed1101,random_gaussian_n100_m80_p0.3_seed1101,FB,converged,80,100,0.3,0.05,47.44447685462522,1681,5.953100254624539,9.793247214535969e-12,48,48,0.042919537358617366,0.0,0.06269372177144908,0.021751925400300402,True,0.12857767199989212,0.12837794199992913,0.00020413999993706966,0,0,0,0,0,,,0.0,0.0,0.0,0.0,0.219870268576497,,,,,ordinary,1101,10000,3,0.1282752710000068,0.13001526099992589,0.12832660649996797,0.1291966014999275
ordinary_n100_p0.3_seed1101,random_gaussian_n100_m80_p0.3_seed1101,4V-FB,converged,80,100,0.3,0.05,47.44447685462522,1681,5.953100254624539,9.793247214535969e-12,48,48,0.042919537358617366,0.0,0.06269372177144908,0.021751925400300402,True,0.13597325000000637,0.13575479999997242,0.00021992000006321177,11,10,1,0,660,48.0,48.0,0.0009435890001441294,0.00013455000009798823,0.0012671089999685137,0.009367348723511406,0.219870268576497,9.204683715500877e-41,1.9176424407293495e-42,0.042919537358617366,48.86279790168097,ordinary,1101,10000,3,0.13503861099991354,0.13591029000008348,0.13539670549994298,0.13583254500002795
ordinary_n100_p0.3_seed1102,random_gaussian_n100_m80_p0.3_seed1102,FB,converged,80,100,0.3,0.05,35.28032883792947,7804,5.244109815406402,9.960377765034918e-12,50,50,0.04290552454900226,0.0,0.012059931987543952,0.00415165167145754,True,0.6027535719998696,0.6025150319999284,0.00023114999999052088,0,0,0,0,0,,,0.0,0.0,0.0,0.0,0.21974824718145045,,,,,ordinary,1102,10000,3,0.5975795319999406,0.6051669409999931,0.6000472819999345,0.6038409864999608
