run_key,method,iter,eligible_q,scheduled,forced_final,support_size,lambda_min,eta,chosen_sign,actual_drop,required_drop,roundoff_guard,guard_dominates_theory,accepted,eig_time,probe_time,verification_time,regime,geometry,n,p,perturbation,seed
perturbed_quartic_n50_p0.5_eps1e-05_seed2104,4V-FB,26,1,True,False,49,0.11553371203826683,0.5628085996530688,-1,-0.018025610306392714,3.4335086162814516e-18,5.243736755405836e-13,True,False,7.204999997156847e-05,9.999999974752427e-06,0.00010006999991674093,perturbed_saddle,quartic,50,0.5,1e-05,2104
perturbed_quartic_n50_p0.5_eps1e-05_seed2104,4V-FB,27,2,True,False,49,0.11553371337173968,0.5628085996530688,-1,-0.01802559892072786,3.4335086162814516e-18,5.243736755405828e-13,True,False,6.127999995442224e-05,9.509999927104218e-06,8.698000010554097e-05,perturbed_saddle,quartic,50,0.5,1e-05,2104
perturbed_quartic_n50_p0.5_eps1e-05_seed2104,4V-FB,29,4,True,False,49,0.11553371435028212,0.5628085996530688,-1,-0.01802559056558195,3.4335086162814516e-18,5.243736755405828e-13,True,False,5.607000002783025e-05,9.159999990515644e-06,8.071000002018991e-05,perturbed_saddle,quartic,50,0.5,1e-05,2104
perturbed_quartic_n50_p0.5_eps1e-05_seed2104,4V-FB,33,8,True,False,49,0.11553371464432126,0.5628085996530688,-1,-0.018025588054971564,3.4335086162814516e-18,5.243736755405828e-13,True,False,5.6109999832187896e-05,9.130000080403988e-06,8.086999991974153e-05,perturbed_saddle,quartic,50,0.5,1e-05,2104
perturbed_quartic_n50_p0.5_eps1e-05_seed2104,4V-FB,39,14,False,True,49,0.11553371466234529,0.5628085996530688,-1,-0.018025587901076,3.4335086162814516e-18,5.243736755405828e-13,True,False,5.581999994319631e-05,9.379999937664252e-06,8.062000006248127e-05,perturbed_saddle,quartic,50,0.5,1e-05,2104
perturbed_quartic_n50_p0.5_eps1e-05_seed2105,4V-FB,3,1,True,False,50,2.2695237710457652e-12,0.5628085996530688,-1,0.00021411569207163694,3.433508616280756e-18,5.277777777777777e-13,True,True,9.217999991051329e-05,1.0049999900729745e-05,0.00012294000021029206,perturbed_saddle,quartic,50,0.5,1e-05,2105
perturbed_quartic_n50_p0.5_eps1e-05_seed2105,4V-FB,26,1,True,False,49,0.11553371203826437,0.5628085996530688,-1,-0.018025610306412254,3.433508616280756e-18,5.243736755405836e-13,True,False,7.21999999768741e-05,1.01200000699464e-05,0.00010066999993796344,perturbed_saddle,quartic,50,0.5,1e-05,2105
perturbed_quartic_n50_p0.5_eps1e-05_seed2105,4V-FB,27,2,True,False,49,0.11553371337173847,0.5628085996530688,-1,-0.018025598920738517,3.433508616280756e-18,5.243736755405829e-13,True,False,6.114999996498227e-05,9.370000043418258e-06,8.660000003146706e-05,perturbed_saddle,quartic,50,0.5,1e-05,2105
perturbed_quartic_n50_p0.5_eps1e-05_seed2105,4V-FB,29,4,True,False,49,0.11553371435028181,0.5628085996530688,-1,-0.018025590565585503,3.433508616280756e-18,5.243736755405828e-13,True,False,6.441000004997477e-05,9.679999948275508e-06,8.990000014819088e-05,perturbed_saddle,quartic,50,0.5,1e-05,2105
perturbed_quartic_n50_p0.5_eps1e-05_seed2105,4V-FB,33,8,True,False,49,0.11553371464432124,0.5628085996530688,-1,-0.018025588054971564,3.433508616280756e-18,5.243736755405828e-13,True,False,5.515999987437681e-05,9.39000005928392e-06,7.974000004651316e-05,perturbed_saddle,quartic,50,0.5,1e-05,2105
perturbed_quartic_n50_p0.5_eps1e-05_seed2105,4V-FB,39,14,False,True,49,0.11553371466234529,0.5628085996530688,-1,-0.018025587901076,3.433508616280756e-18,5.243736755405828e-13,True,False,5.570000007537601e-05,9.28999997995561e-06,8.045999993555597e-05,perturbed_saddle,quartic,50,0.5,1e-05,2105
perturbed_quartic_n50_p0.8_eps1e-02_seed2101,4V-FB,5,1,True,False,50,-7.330982765315908e-08,0.4619485798512441,-1,4.3257627070580895e-05,4.0261064141589016e-14,6.666666666666637e-13,True,True,0.00010031900001195027,1.1029999996026163e-05,0.00013307900007930584,perturbed_saddle,quartic,50,0.8,0.01,2101
perturbed_quartic_n50_p0.8_eps1e-02_seed2101,4V-FB,43,1,True,False,49,0.0485193518035527,0.4619485798512441,-1,-0.00508611905936629,4.0261064141589016e-14,6.656450856262731e-13,True,False,7.469000001947279e-05,1.0870000096474541e-05,0.00010541000006014656,perturbed_saddle,quartic,50,0.8,0.01,2101
perturbed_quartic_n50_p0.8_eps1e-02_seed2101,4V-FB,44,2,True,False,49,0.04851935377285749,0.4619485798512441,-1,-0.005086110051475856,4.0261064141589016e-14,6.656450856262719e-13,True,False,6.192000000737607e-05,1.0149999980058055e-05,8.85199999629549e-05,perturbed_saddle,quartic,50,0.8,0.01,2101
perturbed_quartic_n50_p0.8_eps1e-02_seed2101,4V-FB,46,4,True,False,49,0.04851935517755103,0.4619485798512441,-1,-0.005086103626198657,4.0261064141589016e-14,6.656450856262716e-13,True,False,6.443999996008642e-05,1.019000001178938e-05,9.075000002667366e-05,perturbed_saddle,quartic,50,0.8,0.01,2101
perturbed_quartic_n50_p0.8_eps1e-02_seed2101,4V-FB,50,8,True,False,49,0.048519355578673456,0.4619485798512441,-1,-0.00508610179140323,4.0261064141589016e-14,6.656450856262716e-13,True,False,5.529000009119045e-05,9.979999958886765e-06,8.113000012599514e-05,perturbed_saddle,quartic,50,0.8,0.01,2101
