run_key,problem,method,status,m,n,p,lambda,initial_objective,iterations,final_objective,final_residual,support_size,raw_nonzero_count,classification_support_threshold,thresholded_tail_norm,lambda_min,relative_lambda_min,numerical_locmin,runtime_total,runtime_algorithm,diagnostic_time,verification_calls,scheduled_verifications,forced_final_verifications,accepted_corrections,eligible_iterations,mean_verify_support,max_verify_support,eig_time,probe_time,verification_time,verification_time_fraction,gamma,kappa0,sigma,eta_lower_bound,log10_theoretical_correction_bound,regime,geometry,perturbation,seed,dirl_config,dirl_alpha,dirl_beta_factor,dirl_mu,dirl_epsilon0,initial_distance_to_saddle,distance_to_saddle,escaped_radius_0p1,F_saddle,objective_change_from_saddle
dirl_sensitivity_mu_0p80_seed2101,exact_quartic_n20_p0.5,DIRL2,converged,20,20,0.5,0.1,2.1111111953012576,200,2.111111111111111,6.727774298778124e-13,20,20,0.2814042998265344,0.0,-4.539637839251487e-09,-2.2698189196257434e-08,False,0.003000019999944925,0.00266535999980988,0.00033466000013504527,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2101,mu_0p80,0.2,1.0,0.8,0.01,0.0010000000000000135,0.00039763709014948656,False,2.111111111111111,0.0
dirl_sensitivity_mu_0p80_seed2102,exact_quartic_n20_p0.5,DIRL1,converged,20,20,0.5,0.1,2.1111112109773416,677,2.1111111111111107,2.5866609883106724e-15,20,20,0.2814042998265344,0.0,-3.812482274323514e-11,-1.9062411371617566e-10,False,0.022543426999845906,0.008659309000904614,0.013884117998941292,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2102,mu_0p80,0.2,1.0,0.8,0.01,0.0010000000000000406,3.644018575313858e-05,False,2.111111111111111,-4.440892098500626e-16
dirl_sensitivity_mu_0p80_seed2102,exact_quartic_n20_p0.5,DIRL2,converged,20,20,0.5,0.1,2.1111112109773416,136,2.111111111111111,1.1824427473698853e-13,20,20,0.2814042998265344,0.0,-3.8842526417504075e-11,-1.942126320875101e-10,False,0.002160948999971879,0.0018248290000428824,0.00033611999992899655,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2102,mu_0p80,0.2,1.0,0.8,0.01,0.0010000000000000406,3.6780959210729214e-05,False,2.111111111111111,0.0
dirl_sensitivity_mu_0p80_seed2103,exact_quartic_n20_p0.5,DIRL1,converged,20,20,0.5,0.1,2.1111112089219133,677,2.1111111111111103,3.380426854061206e-14,20,20,0.2814042998265344,0.0,-6.166166119370153e-10,-3.083083059685076e-09,False,0.022466986999916116,0.008633569000267016,0.0138334179996491,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2103,mu_0p80,0.2,1.0,0.8,0.01,0.0009999999999999575,0.0001465493649442941,False,2.111111111111111,-8.881784197001252e-16
dirl_sensitivity_mu_0p80_seed2103,exact_quartic_n20_p0.5,DIRL2,converged,20,20,0.5,0.1,2.1111112089219133,136,2.1111111111111107,1.1840011176710474e-13,20,20,0.2814042998265344,0.0,-6.28200477748031e-10,-3.1410023887400123e-09,False,0.0021595600001091952,0.0018288700000539393,0.00033069000005525595,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2103,mu_0p80,0.2,1.0,0.8,0.01,0.0009999999999999575,0.00014791937842038028,False,2.111111111111111,-4.440892098500626e-16
dirl_sensitivity_mu_0p80_seed2104,exact_quartic_n20_p0.5,DIRL1,converged,20,20,0.5,0.1,2.1111112033020416,700,2.111111111111111,2.2702728958948076e-13,20,20,0.2814042998265344,0.0,-2.200514548356125e-09,-1.1002572741780625e-08,False,0.009451377999994293,0.008634208000330545,0.0008171699996637471,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2104,mu_0p80,0.2,1.0,0.8,0.01,0.0009999999999999027,0.00027684610971317374,False,2.111111111111111,0.0
dirl_sensitivity_mu_0p80_seed2104,exact_quartic_n20_p0.5,DIRL2,converged,20,20,0.5,0.1,2.1111112033020416,200,2.1111111111111107,2.3351418089699847e-13,20,20,0.2814042998265344,0.0,-2.241823435222834e-09,-1.120911717611417e-08,False,0.003001039999844579,0.0026721099998212594,0.00032893000002331974,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2104,mu_0p80,0.2,1.0,0.8,0.01,0.0009999999999999027,0.00027943255400730014,False,2.111111111111111,-4.440892098500626e-16
dirl_sensitivity_mu_0p80_seed2105,exact_quartic_n20_p0.5,DIRL1,converged,20,20,0.5,0.1,2.1111112076867196,677,2.1111111111111107,6.596142622518479e-14,20,20,0.2814042998265344,0.0,-9.647174586957519e-10,-4.823587293478758e-09,False,0.022128395999970962,0.008601807998502409,0.013526588001468554,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2105,mu_0p80,0.2,1.0,0.8,0.01,0.0009999999999999567,0.0001833058765497826,False,2.111111111111111,-4.440892098500626e-16
dirl_sensitivity_mu_0p80_seed2105,exact_quartic_n20_p0.5,DIRL2,converged,20,20,0.5,0.1,2.1111112076867196,136,2.111111111111111,1.3245325219900005e-13,20,20,0.2814042998265344,0.0,-9.82763544155052e-10,-4.913817720775077e-09,False,0.002154530000325394,0.0018247900002279493,0.00032974000009744486,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2105,mu_0p80,0.2,1.0,0.8,0.01,0.0009999999999999567,0.00018501254570318497,False,2.111111111111111,0.0
dirl_sensitivity_mu_0p95_seed2101,exact_quartic_n20_p0.5,DIRL1,converged,20,20,0.5,0.1,2.1111111953012576,2800,2.1111111111111107,6.016787199999612e-13,20,20,0.2814042998265344,0.0,-4.21401568501123e-09,-2.1070078425056146e-08,False,0.03715668499989988,0.034354584999618965,0.002802100000280916,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2101,mu_0p95,0.2,1.0,0.95,0.01,0.0010000000000000135,0.0003831107686865836,False,2.111111111111111,-4.440892098500626e-16
