iteration,objective,objective_change_double,objective_change_high_precision,distance_to_saddle,step_norm,fb_residual,support_size,relative_lambda_min,elapsed_seconds,first_machine_fixed_iteration,total_runtime_seconds
28714,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,2.7884473599999637,10,94.08344318799982
31018,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,3.0062014379998345,10,94.08344318799982
33507,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,3.2412367439999343,10,94.08344318799982
36195,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,3.494962176999934,10,94.08344318799982
39100,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,3.7692274859998633,10,94.08344318799982
42237,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,4.065335122999841,10,94.08344318799982
45626,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,4.385474945999931,10,94.08344318799982
49287,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,4.731646774999945,10,94.08344318799982
53242,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,5.105800579999823,10,94.08344318799982
57514,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,5.5090695599999435,10,94.08344318799982
62129,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,5.944019735999973,10,94.08344318799982
67114,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,6.4161974069998,10,94.08344318799982
72499,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,6.92371067199997,10,94.08344318799982
78316,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,7.472126892000006,10,94.08344318799982
84600,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,8.063760244999912,10,94.08344318799982
91388,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,8.702373931000011,10,94.08344318799982
98721,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,9.391968418999795,10,94.08344318799982
100000,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,9.512682901999824,10,94.08344318799982
106643,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,10.135928009999816,10,94.08344318799982
115200,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,10.941809271000011,10,94.08344318799982
124443,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,11.809873253999967,10,94.08344318799982
134428,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,12.747675025999797,10,94.08344318799982
145214,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,13.759679436999932,10,94.08344318799982
156866,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,14.850568676999956,10,94.08344318799982
169453,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,16.029688803,10,94.08344318799982
183050,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,17.309622535000017,10,94.08344318799982
197737,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,18.689752081999814,10,94.08344318799982
213603,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,20.176726642999938,10,94.08344318799982
230742,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,21.78597733699985,10,94.08344318799982
249257,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,23.525285139999824,10,94.08344318799982
269257,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,25.40977206499997,10,94.08344318799982
290862,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,27.428523135999967,10,94.08344318799982
314200,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,29.61675173499998,10,94.08344318799982
339411,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,31.968487864999815,10,94.08344318799982
366645,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,34.52073582799994,10,94.08344318799982
396063,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,37.27694961299994,10,94.08344318799982
427843,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,40.2638268369999,10,94.08344318799982
462172,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,43.4952546049999,10,94.08344318799982
499256,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,46.99184843599983,10,94.08344318799982
539316,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,50.760131125999806,10,94.08344318799982
582590,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,54.84843061799984,10,94.08344318799982
629336,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,59.29372757399983,10,94.08344318799982
679832,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,64.05959175199996,10,94.08344318799982
734381,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,69.19997071099988,10,94.08344318799982
793307,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,74.74912062599992,10,94.08344318799982
856960,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,80.75804409599982,10,94.08344318799982
925721,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,87.21271620499988,10,94.08344318799982
1000000,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,94.08338453800002,10,94.08344318799982
