run_key,problem,method,status,m,n,p,lambda,initial_objective,iterations,final_objective,final_residual,support_size,raw_nonzero_count,classification_support_threshold,thresholded_tail_norm,lambda_min,relative_lambda_min,numerical_locmin,runtime_total,runtime_algorithm,diagnostic_time,verification_calls,scheduled_verifications,forced_final_verifications,accepted_corrections,eligible_iterations,mean_verify_support,max_verify_support,eig_time,probe_time,verification_time,verification_time_fraction,gamma,kappa0,sigma,eta_lower_bound,log10_theoretical_correction_bound,regime,geometry,perturbation,seed,initial_distance_to_saddle,distance_to_saddle,escaped_radius_0p1,F_saddle,objective_change_from_saddle
perturbed_quartic_n50_p0.3_eps1e-02_seed2101,exact_quartic_n50_p0.3,FB,max_iter,50,50,0.3,0.1,5.074764098754464,10000,5.074750830564721,1.1804593624467543e-10,50,50,0.3092532037787764,0.0,-1.4435476076990472e-07,-5.155527170353741e-07,False,0.7511744989999443,0.7510014389999924,0.0001730599999518745,0,0,0,0,0,,,0.0,0.0,0.0,0.0,3.1561461794019934,,,,,perturbed_saddle,quartic,0.01,2101,0.009999999999999884,0.002290650674346758,False,5.074750830564784,-6.306066779870889e-14
perturbed_quartic_n50_p0.3_eps1e-02_seed2101,exact_quartic_n50_p0.3,DIRL1,max_iter,50,50,0.3,0.1,5.074764098754464,10000,5.074750830564724,1.1321367960698145e-10,50,50,0.3092532037787764,0.0,-1.4038788292980442e-07,-5.013852961778729e-07,False,0.1367708099999163,0.1289356909999242,0.007835118999992119,0,0,0,0,0,,,0.0,0.0,0.0,0.0,3.1561461794019934,,,,,perturbed_saddle,quartic,0.01,2101,0.009999999999999884,0.0022589579785406238,False,5.074750830564784,-5.950795411990839e-14
perturbed_quartic_n50_p0.3_eps1e-02_seed2101,exact_quartic_n50_p0.3,DIRL2,max_iter,50,50,0.3,0.1,5.074764098754464,10000,5.074750830564721,1.175960704076325e-10,50,50,0.3092532037787764,0.0,-1.4398773837132062e-07,-5.142419227547164e-07,False,0.147233167999957,0.13939383900128632,0.00783932899867068,0,0,0,0,0,,,0.0,0.0,0.0,0.0,3.1561461794019934,,,,,perturbed_saddle,quartic,0.01,2101,0.009999999999999884,0.0022877368771692915,False,5.074750830564784,-6.306066779870889e-14
perturbed_quartic_n50_p0.3_eps1e-02_seed2101,exact_quartic_n50_p0.3,4V-FB,converged,50,50,0.3,0.1,5.074764098754464,41,5.018575069269825,2.8216509830402076e-12,49,49,0.3092532037787764,0.0,0.15418504719435602,0.5506608828369859,True,0.0040791299998090835,0.0039027299999361276,0.00017639999987295596,6,5,1,1,16,49.166666666666664,50.0,0.0004097000003184803,6.172000007609313e-05,0.0005750400000579248,0.14097123653446655,3.1561461794019934,1.784833313291664e-24,3.7184027360243e-26,0.3092532037787764,28.173802602885928,perturbed_saddle,quartic,0.01,2101,0.009999999999999884,1.3715321824940976,True,5.074750830564784,-0.05617576129495916
perturbed_quartic_n50_p0.3_eps1e-02_seed2102,exact_quartic_n50_p0.3,FB,converged,50,50,0.3,0.1,5.074764822221011,8,5.074750830564785,2.5333851569555876e-13,50,50,0.3092532037787764,0.0,-1.7083677389395646e-09,-6.101313353355399e-09,False,0.0008090500000434986,0.000648120000050767,0.0001609299999927316,0,0,0,0,0,,,0.0,0.0,0.0,0.0,3.1561461794019934,,,,,perturbed_saddle,quartic,0.01,2102,0.009999999999999985,0.00024919243359635573,False,5.074750830564784,8.881784197001252e-16
perturbed_quartic_n50_p0.3_eps1e-02_seed2102,exact_quartic_n50_p0.3,DIRL1,converged,50,50,0.3,0.1,5.074764822221011,1368,5.074750830564784,1.4637763098054268e-13,50,50,0.3092532037787764,0.0,-1.665876603329508e-09,-5.949559297605385e-09,False,0.04065360300000975,0.017974195998931464,0.02267940700107829,0,0,0,0,0,,,0.0,0.0,0.0,0.0,3.1561461794019934,,,,,perturbed_saddle,quartic,0.01,2102,0.009999999999999985,0.000246074012570288,False,5.074750830564784,0.0
perturbed_quartic_n50_p0.3_eps1e-02_seed2102,exact_quartic_n50_p0.3,DIRL2,converged,50,50,0.3,0.1,5.074764822221011,263,5.074750830564784,1.5208541187060556e-13,50,50,0.3092532037787764,0.0,-1.7087810055826935e-09,-6.102789305652477e-09,False,0.014095737999923585,0.0039286199992147885,0.010167118000708797,0,0,0,0,0,,,0.0,0.0,0.0,0.0,3.1561461794019934,,,,,perturbed_saddle,quartic,0.01,2102,0.009999999999999985,0.0002492226658665481,False,5.074750830564784,0.0
perturbed_quartic_n50_p0.3_eps1e-02_seed2102,exact_quartic_n50_p0.3,4V-FB,converged,50,50,0.3,0.1,5.074764822221011,41,5.018575069269825,2.8293898218497527e-12,49,49,0.3092532037787764,0.0,0.15418504719435575,0.5506608828369849,True,0.0040480200000274635,0.0038716399999429996,0.00017638000008446397,6,5,1,1,16,49.166666666666664,50.0,0.0003957899998567882,6.225999982234498e-05,0.0005603699999028322,0.13843064013987835,3.1561461794019934,1.784830175097864e-24,3.7183961981205503e-26,0.3092532037787764,28.173803428401172,perturbed_saddle,quartic,0.01,2102,0.009999999999999985,1.371532182494064,True,5.074750830564784,-0.05617576129495916
perturbed_quartic_n50_p0.3_eps1e-02_seed2103,exact_quartic_n50_p0.3,FB,converged,50,50,0.3,0.1,5.074764760274899,8,5.074750830564785,3.530696547579585e-12,50,50,0.3092532037787764,0.0,-1.389406475982291e-08,-4.962165985650858e-08,False,0.0008098190000964678,0.0006495499999346066,0.00016026900016186119,0,0,0,0,0,,,0.0,0.0,0.0,0.0,3.1561461794019934,,,,,perturbed_saddle,quartic,0.01,2103,0.009999999999999988,0.0007106551252076015,False,5.074750830564784,8.881784197001252e-16
perturbed_quartic_n50_p0.3_eps1e-02_seed2103,exact_quartic_n50_p0.3,DIRL1,converged,50,50,0.3,0.1,5.074764760274899,1400,5.074750830564783,3.3940006573118362e-12,50,50,0.3092532037787764,0.0,-1.3547943253366945e-08,-4.838551161916766e-08,False,0.01909470800001145,0.01784540800031209,0.0012492999996993603,0,0,0,0,0,,,0.0,0.0,0.0,0.0,3.1561461794019934,,,,,perturbed_saddle,quartic,0.01,2103,0.009999999999999988,0.0007017475939197058,False,5.074750830564784,-8.881784197001252e-16
perturbed_quartic_n50_p0.3_eps1e-02_seed2103,exact_quartic_n50_p0.3,DIRL2,converged,50,50,0.3,0.1,5.074764760274899,300,5.074750830564783,3.5257046490993228e-12,50,50,0.3092532037787764,0.0,-1.3895892186921444e-08,-4.962818638186229e-08,False,0.004563978999840401,0.004164168999750473,0.0003998100000899285,0,0,0,0,0,,,0.0,0.0,0.0,0.0,3.1561461794019934,,,,,perturbed_saddle,quartic,0.01,2103,0.009999999999999988,0.0007107018794871651,False,5.074750830564784,-8.881784197001252e-16
perturbed_quartic_n50_p0.3_eps1e-02_seed2103,exact_quartic_n50_p0.3,4V-FB,converged,50,50,0.3,0.1,5.074764760274899,41,5.018575069269824,2.8276309948475836e-12,49,49,0.3092532037787764,0.0,0.1541850471943558,0.5506608828369851,True,0.00404326900002161,0.0038701290000062727,0.00017314000001533714,6,5,1,1,16,49.166666666666664,50.0,0.00039133899963417207,6.1019999975542305e-05,0.0005544889997963764,0.13713878542174981,3.1561461794019934,1.78483044380239e-24,3.718396757921645e-26,0.3092532037787764,28.173803357717247,perturbed_saddle,quartic,0.01,2103,0.009999999999999988,1.3715321824940714,True,5.074750830564784,-0.05617576129496005
perturbed_quartic_n50_p0.3_eps1e-02_seed2104,exact_quartic_n50_p0.3,FB,max_iter,50,50,0.3,0.1,5.074764491479187,10000,5.0747508305647715,3.707738950244233e-11,50,50,0.3092532037787764,0.0,-6.670151150856007e-08,-2.3821968395914314e-07,False,0.7459300700002132,0.7457613400001719,0.0001687300000412506,0,0,0,0,0,,,0.0,0.0,0.0,0.0,3.1561461794019934,,,,,perturbed_saddle,quartic,0.01,2104,0.009999999999999985,0.0015570827869013,False,5.074750830564784,-1.2434497875801753e-14
