run_key,method,iter,eligible_q,scheduled,forced_final,support_size,lambda_min,eta,chosen_sign,actual_drop,required_drop,roundoff_guard,guard_dominates_theory,accepted,eig_time,probe_time,verification_time,regime,geometry,n,p
exact_quartic_n20_p0.3,4V-FB,37,15,False,True,19,0.15418504719435572,0.6185064075575528,-1,-0.029189306872357657,1.100455589032931e-21,1.973724570930954e-13,True,False,2.5159999950119527e-05,9.249999948224286e-06,4.9279999984719325e-05,exact,quartic,20,0.3
exact_quartic_n20_p0.5,4V-FB,1,1,True,False,20,-1.1657341758563752e-17,0.5628085996530688,1,0.00021411386068814764,5.219717520488294e-15,2.1111111111111113e-13,True,True,4.933000013807032e-05,8.940000043367036e-06,7.688000005146023e-05,exact,quartic,20,0.5
exact_quartic_n20_p0.5,4V-FB,24,1,True,False,19,0.1155337120382606,0.5628085996530688,-1,-0.018025610306445117,5.219717520488294e-15,2.0770700887391686e-13,True,False,3.545000004123722e-05,9.170000112135313e-06,6.103999999140797e-05,exact,quartic,20,0.5
exact_quartic_n20_p0.5,4V-FB,25,2,True,False,19,0.11553371337173662,0.5628085996530688,-1,-0.018025598920753616,5.219717520488294e-15,2.077070088739163e-13,True,False,2.759000017249491e-05,8.420000085607171e-06,5.1139999868610175e-05,exact,quartic,20,0.5
exact_quartic_n20_p0.5,4V-FB,27,4,True,False,19,0.11553371435028137,0.5628085996530688,-1,-0.0180255905655895,5.219717520488294e-15,2.0770700887391613e-13,True,False,2.548999987084244e-05,8.25000006443588e-06,4.831999990528857e-05,exact,quartic,20,0.5
exact_quartic_n20_p0.5,4V-FB,31,8,True,False,19,0.11553371464432122,0.5628085996530688,-1,-0.018025588054971564,5.219717520488294e-15,2.0770700887391613e-13,True,False,2.5580000055924756e-05,8.409999963987502e-06,4.8279999873557244e-05,exact,quartic,20,0.5
exact_quartic_n20_p0.5,4V-FB,37,14,False,True,19,0.11553371466234529,0.5628085996530688,-1,-0.018025587901075557,5.219717520488294e-15,2.0770700887391613e-13,True,False,2.4559999928897014e-05,8.249999837062205e-06,4.7250000079657184e-05,exact,quartic,20,0.5
exact_quartic_n20_p0.8,4V-FB,1,1,True,False,20,-1.2989609388114163e-17,0.4619485798512441,1,4.2115623264837865e-05,3.867214817909057e-12,2.6666666666666673e-13,False,True,4.782999985764036e-05,9.910000017043785e-06,7.655000013073732e-05,exact,quartic,20,0.8
exact_quartic_n20_p0.8,4V-FB,39,1,True,False,19,0.04851935174140603,0.4619485798512441,-1,-0.00508611934363401,3.867214817909057e-12,2.656450856262731e-13,False,False,4.357000011623313e-05,1.0060000022349413e-05,7.133000008252566e-05,exact,quartic,20,0.8
exact_quartic_n20_p0.8,4V-FB,40,2,True,False,19,0.04851935374293539,0.4619485798512441,-1,-0.0050861101883437065,3.867214817909057e-12,2.656450856262719e-13,False,False,2.8720000045723282e-05,9.510000154477893e-06,5.403999989539443e-05,exact,quartic,20,0.8
